full_title,guest,length,views,likes,dislikes,date,comments,likes/dislikes,views/likes,views/comments
Гнойный - большое интервью после батла,Гнойный ,58,12429387,227000.0,119000.0,2017-08-23,43607,1.9075630252100841,54.75500881057269,285.03192148049624
Юра Борисов – «новый Петров» и прыжок с обрыва,Юра Борисов ,81,5044828,129000.0,11000.0,2020-09-01,16450,11.727272727272727,39.107193798449615,306.67647416413377
Anacondaz – про Россию и Родину-мать,Anacondaz ,81,5123527,177000.0,14000.0,2020-03-17,17607,12.642857142857142,28.9464802259887,290.9937524848072
"Собчак - о Навальном, крестном и выборах",Собчак ,96,14851144,251000.0,67000.0,2017-10-24,52045,3.746268656716418,59.16790438247012,285.35198386012104
Айсултан,Айсултан,79,6974498,249000.0,15000.0,2019-03-05,29808,16.6,28.010032128514055,233.980743424584
"Ивлеева - про Элджея, секс и пластику",Ивлеева ,59,32808548,653000.0,163000.0,2018-08-21,91177,4.006134969325154,50.242799387442574,359.83359838555776
"Дмитрий Маликов - о Хованском, Версусе и жизни после славы",Дмитрий Маликов ,52,4588429,140000.0,8400.0,2017-05-30,11136,16.666666666666668,32.77449285714286,412.03565014367814
MTV - главный канал нашего детства,MTV ,106,6184184,210000.0,11000.0,2018-04-02,21276,19.09090909090909,29.448495238095237,290.6647866140252
Feduk - автор главного хита этой осени,Feduk ,38,6405675,169000.0,32000.0,2017-12-19,13687,5.28125,37.90340236686391,468.01161686271644
"Мартиросян - о рэпе, Хованском и танце с Медведевым",Мартиросян ,68,10433470,191000.0,22000.0,2017-09-12,21223,8.681818181818182,54.62549738219895,491.6114592658908
"Камчатка – полуостров, про который забыли",Камчатка ,116,11315586,496000.0,14000.0,2020-06-02,55161,35.42857142857143,22.813681451612904,205.1374340566705
Ройзман - о предателях и легалайзе,Ройзман ,93,5620731,141000.0,24000.0,2018-01-23,25811,5.875,39.863340425531916,217.76494517841232
"Навальный - о революции, Кавказе и Спартаке",Навальный ,65,21064363,497000.0,42000.0,2017-04-18,53241,11.833333333333334,42.38302414486922,395.64176104881574
"Белый - сроки за мемы, Версус, Поперечный",Белый ,82,10166911,208000.0,16000.0,2018-09-05,20720,13.0,48.87937980769231,490.6810328185328
